,bodyId,type,roi,x,y,z,confidence,linksTo
385,5813087532,post,IB,21385,14187,18366,0.695547,598
386,5813087532,post,IB,21448,14030,18375,0.47894263,583
387,5813087532,post,IB,20081,11071,21470,0.615646,3045
388,5813087532,post,SPS(R),19934,10574,22078,0.533535,2930
389,5813087532,post,IB,23037,10901,22024,0.76512,4957
390,5813087532,post,SPS(R),19960,10535,22013,0.706526,2925
391,5813087532,post,IB,22337,11577,20799,0.725733,1530
392,5813087532,post,IB,22338,11581,20799,0.48560187,1531
393,5813087532,post,IB,21328,12163,19740,0.965,425
394,5813087532,post,SPS(R),17213,13552,24976,0.45595968,5139
395,5813087532,post,SPS(R),17214,13561,24997,0.48146915,5138
396,5813087532,post,IB,23879,12229,19623,0.315478,1156
397,5813087532,post,IB,21860,11714,20352,0.400604,1341
398,5813087532,post,IB,22792,11222,22136,0.561475,4483
399,5813087532,post,SPS(R),20448,10662,21702,0.647174,5084
400,5813087532,post,IB,23805,12155,19728,0.779703,1163
401,5813087532,post,SPS(R),20619,10635,21553,0.378395,2837
402,5813087532,post,IB,24189,12519,19313,0.944256,365
403,5813087532,post,IB,22845,11171,22108,0.819728,4478
404,5813087532,post,SPS(R),17309,13559,25054,0.706813,3843
405,5813087532,post,SPS(R),17378,13232,25842,0.933109,3763
406,5813087532,post,SPS(R),19672,10575,22334,0.954797,3118
407,5813087532,post,IB,22994,10904,22100,0.593765,4959
408,5813087532,post,SPS(R),19940,10609,21725,0.45869535,5074
409,5813087532,post,IB,22967,10877,22218,0.553095,4964
410,5813087532,post,SPS(R),18582,10556,22608,0.4900371,3241
411,5813087532,post,IB,21351,10977,21056,0.498506,2783
412,5813087532,post,IB,21339,10997,21044,0.67281,2784
413,5813087532,post,SPS(R),16805,13382,25691,0.993394,3880
414,5813087532,post,SPS(R),16869,13317,25737,0.779,3854
415,5813087532,post,IB,23387,11340,23125,0.879582,4570
416,5813087532,post,SPS(R),16870,13316,25738,0.617525,3854
417,5813087532,post,SPS(R),17861,10636,22917,0.77,3290
418,5813087532,post,IB,23421,11351,23082,0.45956308,4573
419,5813087532,post,SPS(R),17802,12610,26872,0.917065,3982
420,5813087532,post,SPS(R),17568,13086,26715,0.974848,3937
421,5813087532,post,SPS(R),17569,13094,26713,0.954,3937
422,5813087532,post,SPS(R),17385,13559,25201,0.611341,3850
423,5813087532,post,IB,21423,10925,20940,0.875,2758
424,5813087532,post,SPS(R),19236,10477,22220,0.747401,4311
425,5813087532,post,SPS(R),19207,10533,22271,0.844368,4302
426,5813087532,post,IB,22327,11008,21411,0.834419,4429
427,5813087532,post,IB,19845,13320,18098,0.583013,320
428,5813087532,post,IB,21434,12001,19631,0.995468,1012
429,5813087532,post,IB,21276,12134,19551,0.978412,996
430,5813087532,post,SPS(R),24498,11680,24546,0.748971,4654
431,5813087532,post,SPS(R),24566,11405,24048,0.995346,4610
432,5813087532,post,SPS(R),24616,11726,24621,0.994111,4661
433,5813087532,post,SPS(R),24202,11876,24867,0.979547,4636
434,5813087532,post,IB,22173,11785,20404,0.834219,1209
435,5813087532,post,IB,22045,11751,20632,0.47938737,1232
436,5813087532,post,SPS(R),19127,10844,22239,0.975556,4340
437,5813087532,post,SPS(R),17528,13007,26713,0.378456,3942
438,5813087532,post,SPS(R),17483,12970,26664,0.4614637,3948
439,5813087532,post,SPS(R),19855,10712,21654,0.679808,3016
440,5813087532,post,SPS(R),20598,10619,21630,0.954428,2853
441,5813087532,post,SPS(R),20146,10313,21823,0.640371,2884
442,5813087532,post,IB,22166,11374,20833,0.919195,1484
443,5813087532,post,IB,22167,11372,20832,0.47240388,1484
444,5813087532,post,IB,22848,10941,21912,0.907547,4438
445,5813087532,post,SPS(R),20021,10952,21499,0.462869,3035
446,5813087532,post,SPS(R),19269,10572,22223,0.354045,4307
447,5813087532,post,SPS(R),20015,10915,21512,0.910763,3033
448,5813087532,post,SPS(R),17240,13775,24936,0.78225,5181
449,5813087532,post,IB,21363,10851,21055,0.887527,2788
450,5813087532,post,SPS(R),17243,13692,24988,0.4884114,5189
451,5813087532,post,SPS(R),19638,10475,22440,0.517224,3128
452,5813087532,post,IB,21783,11997,19665,0.874205,1030
453,5813087532,post,SPS(R),16581,10788,23782,0.4673,3400
454,5813087532,post,IB,22079,11493,20656,0.938288,1550
455,5813087532,post,SPS(R),16388,11202,24570,0.933639,3439
456,5813087532,post,IB,24967,11847,23285,0.677839,4764
457,5813087532,post,IB,24929,11827,23287,0.432081,4766
458,5813087532,post,IB,21535,11634,20241,0.45131272,1373
459,5813087532,post,IB,20259,13285,18154,0.82191,317
460,5813087532,post,IB,21669,11606,20297,0.964,1327
461,5813087532,post,IB,22513,11538,20174,0.954701,1189
462,5813087532,post,IB,21750,13364,18546,0.66845,713
463,5813087532,post,IB,21716,13380,18557,0.768763,712
464,5813087532,post,IB,19565,13490,17969,0.774256,147
465,5813087532,post,IB,19392,13479,17945,0.488722,138
466,5813087532,post,IB,19479,13583,17844,0.47767752,328
467,5813087532,post,IB,19440,13492,17916,0.789869,140
468,5813087532,post,IB,22636,11513,22553,0.45183623,5017
469,5813087532,post,IB,22196,13290,18707,0.751534,645
470,5813087532,post,IB,21796,13219,18613,0.952571,665
471,5813087532,post,IB,22177,11338,20986,0.4648133,1497
472,5813087532,post,PB,19633,11882,18488,0.90658,2315
473,5813087532,pre,PB,19556,11700,18349,0.921,2299
474,5813087532,pre,PB,18821,12262,18295,0.918,1799
475,5813087532,pre,PB,18824,12157,18235,0.843,1738
476,5813087532,pre,PB,18871,12071,18265,0.911,1862
